obligation_id,target_module_path,target_symbol,target_source_path,is_constant_literal_result,is_executed,is_broad_appendix_grammar_row,uses_appendix_b_composite_target,passes_quality_gate
def.QualifiedResolutionProjectInput,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.QualifiedResolutionCurrentModule,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.QualifiedResolutionVisibleModules,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.QualifiedResolutionAliasMap,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.QualifiedResolutionKindDomain,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
req.ModuleVisibilityJudgementOwnership,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
req.ResolveModulePathCanonicalOwner,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Resolve-Qualified,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.DeclOfModuleItem,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
def.DeclOfExternProc,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
def.ModuleOfItem,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
def.ModuleOfExternProc,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
def.ExternBlockOfProc,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
def.ExternProcName,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
